id,name,lat,lon,line
9372157608,登洲,22.9816063,113.1435904,
9372157609,仙涌,22.985728,113.1929167,
9372157610,花卉世界,22.9760999,113.1558031,
9372157611,石洲,22.9933493,113.2108038,
9372157612,林岳西,22.9964566,113.231773,
9372157613,林岳东,22.9966962,113.2443459,
9372157614,广州南站,22.9910905,113.2604785,
9396724897,海珠广场,23.1175005,113.2602568,
9396731718,东山口,23.1264857,113.2901636,
9433838623,寮厦,22.9438507,113.6685412,
9433838624,珊美,22.929467,113.6598046,
9436575386,陈屋,22.9612236,113.6858066,
9436575387,蛤地,22.9808408,113.7238906,
9625872462,市广路,22.9740302,113.3318043,
9625872463,广州南站,22.9916366,113.2667703,
9625872464,陈头岗,23.0162194,113.2605701,
9706799347,大洲,22.9865903,113.2520012,
9706799348,陈村北,22.9788197,113.2398796,
9706799349,陈村,22.9707566,113.2315806,
9706799350,锦龙,22.9567914,113.235791,
9706799351,南涌,22.9419037,113.2327155,
9706799352,美的,22.9364785,113.2215575,
9706799353,北滘公园,22.9329013,113.2066843,
9706799354,美的大道,22.9476007,113.2023646,
10290250424,潭州会展,22.951384,113.1592602,
10290250425,岳步,22.9456303,113.1395929,
10290250426,北滘西站,22.9547553,113.1727839,
10290250427,高村,22.9474747,113.1889489,
10290250430,大墩,22.9564805,113.1238261,
10290250431,亚艺公园,23.0045462,113.1243188,
10290250432,季华六路,23.014656,113.131399,
10290250433,镇安,23.0187365,113.1389172,
10291042781,广教,22.9117781,113.2074501,
10758253464,彩虹桥,23.1375286,113.2403916,
11462683161,双沙,23.1005222,113.4788081,
11462683164,庙头,23.0871951,113.497612,
11462695569,保盈大道,23.0771439,113.5207944,
11462695572,夏港,23.0662247,113.519926,
11462695575,黄埔新港,23.0551078,113.5195136,
11462702419,深井,23.0710005,113.4036776,
11464477038,长洲,23.0783619,113.4234956,
11465431425,燕山,23.1975715,113.4692565,
11465477565,科丰路,23.1653334,113.4606253,
11465477566,加庄,23.1503279,113.4546453,
11465513469,姬堂,23.1346334,113.4504332,
11465530866,夏园,23.0855342,113.5132827,
11585941179,赤沙,23.0871572,113.3583546,
12089221276,汉溪长隆,22.9961827,113.3244015,
12091253926,南村万博,23.006537,113.3390302,
12110386532,龙口西,23.1439868,113.3322834,
12110386533,广州东站,23.1550718,113.3196269,
12118805051,佛山大学,23.1481525,113.0499657,
12129452087,兴业东路,23.0924537,113.0227839,
12129452088,联和,23.0632653,113.0795225,
12129452089,孝德东,23.0697403,113.0639264,
12129452090,罗村,23.069524,113.0463163,
12129452091,中山公园,23.0503885,113.110739,
12129452093,科盛路站,23.1099815,113.0186158,
12133552310,西约,23.0432417,113.1347265,
12133552311,叠滘,23.0507278,113.1220719,
12134745606,佛山西站,23.0823919,113.0280719,
12134745607,博爱中路,23.1190344,113.0201681,
12134745608,南海大学城,23.1427085,113.026763,
12134745611,南海大学城,23.1426973,113.0268152,
12134745612,南海大学城,23.1427441,113.0267121,
12279132341,云台花园,23.1565627,113.287843,
12279132342,大金钟路,23.1644515,113.2717467,
12290352332,昌平,23.0196032,113.6824669,
12290352333,人民医院,23.0294652,113.6941135,
12290352334,厚德,23.0122918,113.6562547,
12290352338,东莞西站,23.0124566,113.6225022,
12290352340,曲海,23.0347579,113.7118129,
12290352343,坝头,23.0249509,113.7217237,
12290352347,元美,23.0194688,113.7352276,
12290352350,中心广场,23.0173285,113.7479067,
12301337482,海傍,22.9435886,113.4714536,
